Survey Year (Year Survey Ended),Total Number of Crabs in Millions (All Ages),Number of Juvenile Crabs in Millions (both sexes),Number of Spawning  Age Crabs in Millions (both sexes),Number of Spawing Age Crabs Female Crabs in Millions,Bay-wide Commercial Harvest (Millions of Pounds),Percentage of Female Crabs Harvested
1990,791,463,276,117,104,43
1991,828,356,457,227,100,40
1992,367,105,251,167,61,63
1993,852,503,347,177,118,28
1994,487,295,190,102,84,36
1995,487,300,183,80,79,36
1996,661,476,146,108,78,25
1997,680,512,165,93,89,24
1998,353,166,187,106,66,43
1999,308,223,86,53,70,42
2000,281,135,146,93,54,49
2001,254,156,101,61,54,42
2002,315,194,121,55,54,37
2003,334,172,171,84,49.5,36
2004,270,143,122,82,60,46
2005,400,243,156,110,58.5,27
2006,313,197,120,85,52,31
2007,251,112,139,89,43,38
2008,293,166,128,91,49,25
2009,396,171,220,162,54,24
2010,663,340,310,246,85,16
2011,452,204,255,191,67,24
2012,765,581,175,95,56,10
2013,300,111,180,147,37,23
2014,297,198,99,68.5,35,17
2015,411,269,143,101,50,15
2016,553,271,284,194,60,16
2017,455,125,330,254,53,21
2018,371,167,206,147,55,23
2019,594,324,271,191,61,17
2020,405,185,220,141,TBD,TBD
