Year,Annual,Winter(Dec-Feb),Spring(Mar-May),Summer(Jun-Aug),Autum(Sep-Nov)
1990,56.6,35.7,53.8,73.5,57.9
1991,56.5,38.5,56.4,75.2,56.4
1992,53.5,37.4,50.9,71.4,55.1
1993,54.2,35,51.7,74.9,56
1994,54.4,31.1,53,74.4,56.8
1995,54.4,36.4,53.5,75.1,55.6
1996,53.2,32.2,50.8,72.8,54.5
1997,54,37.6,51.5,72.6,55.1
1998,57,39.5,55.1,73.7,58.4
1999,55.7,38.4,52.6,75.1,57.6
2000,54.1,36.8,55.3,72.3,57.4
2001,55.3,33.1,52.5,73.6,57.6
2002,56.3,40.5,54.7,75.9,56.8
2003,53.9,31.3,52.2,73.7,57.7
2004,55.2,33,56.4,73.3,57.6
2005,55.2,36,51,75.8,59.1
2006,56.5,37,54.2,75.4,56.5
2007,55.7,36.5,53.5,74.8,59.5
2008,55.3,37,53.6,74.4,56.1
2009,54.6,35,53.8,73.6,57.1
2010,55.9,32.8,56.9,77.2,58
2011,56.5,32.7,55.4,76.2,58.1
2012,57.5,39.9,58.2,75.8,56
2013,54.7,37.7,52.3,74.3,55.8
2014,53.6,33,51.7,72,56.3
2015,55.4,31.9,53.7,74.3,59
2016,56.5,39.2,54.5,76.2,59.5
2017,56.7,40,54.9,74.3,58.4
2018,55.9,36,52.9,75.1,58.4
2019,56.6,36.9,55.7,75.6,58.1
2020,57.2,39.7,53.8,75.5,59.1
2021,56.8,36,54.8,75.8,59
2022,55.7,37.7,54.8,75.5,57.3
2023,57.3,40.5,54.7,74.1,58
